ts,open,high,low,close,volume
1883-10-01,5.38,5.38,5.38,5.38,0.0
1883-11-01,5.46,5.46,5.46,5.46,0.0
1883-12-01,5.34,5.34,5.34,5.34,0.0
1884-01-01,5.18,5.18,5.18,5.18,0.0
1884-02-01,5.32,5.32,5.32,5.32,0.0
1884-03-01,5.3,5.3,5.3,5.3,0.0
1884-04-01,5.06,5.06,5.06,5.06,0.0
1884-05-01,4.65,4.65,4.65,4.65,0.0
1884-06-01,4.46,4.46,4.46,4.46,0.0
1884-07-01,4.46,4.46,4.46,4.46,0.0
1884-08-01,4.74,4.74,4.74,4.74,0.0
1884-09-01,4.59,4.59,4.59,4.59,0.0
1884-10-01,4.44,4.44,4.44,4.44,0.0
1884-11-01,4.35,4.35,4.35,4.35,0.0
1884-12-01,4.34,4.34,4.34,4.34,0.0
1885-01-01,4.24,4.24,4.24,4.24,0.0
1885-02-01,4.37,4.37,4.37,4.37,0.0
1885-03-01,4.38,4.38,4.38,4.38,0.0
1885-04-01,4.37,4.37,4.37,4.37,0.0
1885-05-01,4.32,4.32,4.32,4.32,0.0
1885-06-01,4.3,4.3,4.3,4.3,0.0
1885-07-01,4.46,4.46,4.46,4.46,0.0
1885-08-01,4.71,4.71,4.71,4.71,0.0
1885-09-01,4.65,4.65,4.65,4.65,0.0
1885-10-01,4.92,4.92,4.92,4.92,0.0
1885-11-01,5.24,5.24,5.24,5.24,0.0
1885-12-01,5.2,5.2,5.2,5.2,0.0
1886-01-01,5.2,5.2,5.2,5.2,0.0
1886-02-01,5.3,5.3,5.3,5.3,0.0
1886-03-01,5.19,5.19,5.19,5.19,0.0
1886-04-01,5.12,5.12,5.12,5.12,0.0
1886-05-01,5.02,5.02,5.02,5.02,0.0
1886-06-01,5.25,5.25,5.25,5.25,0.0
1886-07-01,5.33,5.33,5.33,5.33,0.0
1886-08-01,5.37,5.37,5.37,5.37,0.0
1886-09-01,5.51,5.51,5.51,5.51,0.0
1886-10-01,5.65,5.65,5.65,5.65,0.0
1886-11-01,5.79,5.79,5.79,5.79,0.0
1886-12-01,5.64,5.64,5.64,5.64,0.0
1887-01-01,5.58,5.58,5.58,5.58,0.0
1887-02-01,5.54,5.54,5.54,5.54,0.0
1887-03-01,5.67,5.67,5.67,5.67,0.0
1887-04-01,5.8,5.8,5.8,5.8,0.0
1887-05-01,5.9,5.9,5.9,5.9,0.0
1887-06-01,5.73,5.73,5.73,5.73,0.0
1887-07-01,5.59,5.59,5.59,5.59,0.0
1887-08-01,5.45,5.45,5.45,5.45,0.0
1887-09-01,5.38,5.38,5.38,5.38,0.0
1887-10-01,5.2,5.2,5.2,5.2,0.0
1887-11-01,5.3,5.3,5.3,5.3,0.0
1887-12-01,5.27,5.27,5.27,5.27,0.0
1888-01-01,5.31,5.31,5.31,5.31,0.0
1888-02-01,5.28,5.28,5.28,5.28,0.0
1888-03-01,5.08,5.08,5.08,5.08,0.0
1888-04-01,5.1,5.1,5.1,5.1,0.0
1888-05-01,5.17,5.17,5.17,5.17,0.0
1888-06-01,5.01,5.01,5.01,5.01,0.0
1888-07-01,5.14,5.14,5.14,5.14,0.0
1888-08-01,5.25,5.25,5.25,5.25,0.0
1888-09-01,5.38,5.38,5.38,5.38,0.0
1888-10-01,5.35,5.35,5.35,5.35,0.0
1888-11-01,5.24,5.24,5.24,5.24,0.0
1888-12-01,5.14,5.14,5.14,5.14,0.0
1889-01-01,5.24,5.24,5.24,5.24,0.0
1889-02-01,5.3,5.3,5.3,5.3,0.0
1889-03-01,5.19,5.19,5.19,5.19,0.0
1889-04-01,5.18,5.18,5.18,5.18,0.0
1889-05-01,5.32,5.32,5.32,5.32,0.0
1889-06-01,5.41,5.41,5.41,5.41,0.0
1889-07-01,5.3,5.3,5.3,5.3,0.0
1889-08-01,5.37,5.37,5.37,5.37,0.0
1889-09-01,5.5,5.5,5.5,5.5,0.0
1889-10-01,5.4,5.4,5.4,5.4,0.0
1889-11-01,5.35,5.35,5.35,5.35,0.0
1889-12-01,5.32,5.32,5.32,5.32,0.0
